"X1","wavenumber","absorbance"
245,3523.77814,0.27549
246,3521.84941,0.27634
247,3519.92069,0.27722
248,3517.99197,0.27901
249,3516.06324,0.27971
250,3514.13452,0.28095
251,3512.20579,0.2814
252,3510.27707,0.28278
253,3508.34835,0.28355
254,3506.41962,0.2856
255,3504.4909,0.28464
256,3502.56218,0.28575
257,3500.63345,0.2872
258,3498.70473,0.2892
259,3496.776,0.29019
260,3494.84728,0.29188
261,3492.91856,0.29176
262,3490.98983,0.29225
263,3489.06111,0.29448
264,3487.13239,0.2955
265,3485.20366,0.29562
266,3483.27494,0.29699
267,3481.34622,0.29709
268,3479.41749,0.29869
269,3477.48877,0.30007
270,3475.56004,0.29979
271,3473.63132,0.30101
272,3471.7026,0.30159
273,3469.77387,0.30237
274,3467.84515,0.30279
275,3465.91643,0.30488
276,3463.9877,0.30615
277,3462.05898,0.30666
278,3460.13026,0.30628
279,3458.20153,0.30696
280,3456.27281,0.30855
281,3454.34408,0.30887
282,3452.41536,0.30919
283,3450.48664,0.30945
284,3448.55791,0.30928
285,3446.62919,0.31067
286,3444.70047,0.31172
287,3442.77174,0.3121
288,3440.84302,0.31188
289,3438.91429,0.3113
290,3436.98557,0.31201
291,3435.05685,0.31346
292,3433.12812,0.31304
293,3431.1994,0.31429
294,3429.27068,0.31386
295,3427.34195,0.31425
296,3425.41323,0.31533
297,3423.48451,0.31516
298,3421.55578,0.31518
299,3419.62706,0.31496
300,3417.69833,0.31619
301,3415.76961,0.31588
302,3413.84089,0.31607
303,3411.91216,0.3159
304,3409.98344,0.31657
305,3408.05472,0.31745
306,3406.12599,0.31641
307,3404.19727,0.31747
308,3402.26855,0.31753
309,3400.33982,0.31593
310,3398.4111,0.31669
311,3396.48237,0.31686
312,3394.55365,0.31612
313,3392.62493,0.31608
314,3390.6962,0.31752
315,3388.76748,0.31722
316,3386.83876,0.31549
317,3384.91003,0.31573
318,3382.98131,0.31598
319,3381.05259,0.3157
320,3379.12386,0.31535
321,3377.19514,0.31537
322,3375.26641,0.31458
323,3373.33769,0.31402
324,3371.40897,0.31403
325,3369.48024,0.31428
326,3367.55152,0.31357
327,3365.6228,0.31265
328,3363.69407,0.31328
329,3361.76535,0.31312
330,3359.83662,0.31232
331,3357.9079,0.31162
332,3355.97918,0.31022
333,3354.05045,0.31099
334,3352.12173,0.31036
335,3350.19301,0.30956
336,3348.26428,0.30906
337,3346.33556,0.30859
338,3344.40684,0.30823
339,3342.47811,0.30807
340,3340.54939,0.30723
341,3338.62066,0.30658
342,3336.69194,0.30579
343,3334.76322,0.30558
344,3332.83449,0.3047
345,3330.90577,0.30445
346,3328.97705,0.30435
347,3327.04832,0.30346
348,3325.1196,0.30231
349,3323.19088,0.30222
350,3321.26215,0.30185
351,3319.33343,0.30074
352,3317.4047,0.3
353,3315.47598,0.29931
354,3313.54726,0.29917
355,3311.61853,0.2982
356,3309.68981,0.29816
357,3307.76109,0.29814
358,3305.83236,0.29746
359,3303.90364,0.29722
360,3301.97491,0.29665
361,3300.04619,0.296
362,3298.11747,0.29556
363,3296.18874,0.29407
364,3294.26002,0.29346
365,3292.3313,0.29336
366,3290.40257,0.29332
367,3288.47385,0.29196
368,3286.54513,0.2925
369,3284.6164,0.29212
370,3282.68768,0.29112
371,3280.75895,0.29077
372,3278.83023,0.29043
373,3276.90151,0.28861
374,3274.97278,0.28914
375,3273.04406,0.28818
376,3271.11534,0.28793
377,3269.18661,0.28713
378,3267.25789,0.28648
379,3265.32917,0.28637
380,3263.40044,0.28647
381,3261.47172,0.28517
382,3259.54299,0.28414
383,3257.61427,0.28422
384,3255.68555,0.28426
385,3253.75682,0.2834
386,3251.8281,0.28223
387,3249.89938,0.28153
388,3247.97065,0.28096
389,3246.04193,0.28024
390,3244.1132,0.27983
391,3242.18448,0.28026
392,3240.25576,0.27829
393,3238.32703,0.27833
394,3236.39831,0.27713
395,3234.46959,0.27651
396,3232.54086,0.27591
397,3230.61214,0.27484
398,3228.68342,0.27355
399,3226.75469,0.27433
400,3224.82597,0.27212
401,3222.89724,0.27246
402,3220.96852,0.2714
403,3219.0398,0.27045
404,3217.11107,0.26993
405,3215.18235,0.2689
406,3213.25363,0.26777
407,3211.3249,0.26693
408,3209.39618,0.26623
409,3207.46746,0.26555
410,3205.53873,0.26414
411,3203.61001,0.26274
412,3201.68128,0.26225
413,3199.75256,0.26186
414,3197.82384,0.26053
415,3195.89511,0.25942
416,3193.96639,0.25915
417,3192.03767,0.25746
418,3190.10894,0.2563
419,3188.18022,0.25524
420,3186.25149,0.25461
421,3184.32277,0.25338
422,3182.39405,0.25227
423,3180.46532,0.25093
424,3178.5366,0.25023
425,3176.60788,0.24925
426,3174.67915,0.24844
427,3172.75043,0.24714
428,3170.82171,0.24549
429,3168.89298,0.24418
430,3166.96426,0.24338
431,3165.03553,0.24168
432,3163.10681,0.24186
433,3161.17809,0.24047
434,3159.24936,0.23944
435,3157.32064,0.23814
436,3155.39192,0.23753
437,3153.46319,0.23558
438,3151.53447,0.23505
439,3149.60575,0.2341
440,3147.67702,0.23265
441,3145.7483,0.23112
442,3143.81957,0.23081
443,3141.89085,0.22943
444,3139.96213,0.22893
445,3138.0334,0.22776
446,3136.10468,0.22629
447,3134.17596,0.22593
448,3132.24723,0.22505
449,3130.31851,0.22353
450,3128.38978,0.2224
451,3126.46106,0.22141
452,3124.53234,0.21982
453,3122.60361,0.21914
454,3120.67489,0.21789
455,3118.74617,0.21675
456,3116.81744,0.21626
457,3114.88872,0.2152
458,3112.96,0.21345
459,3111.03127,0.2131
460,3109.10255,0.2118
461,3107.17382,0.21034
462,3105.2451,0.20962
463,3103.31638,0.20842
464,3101.38765,0.20727
465,3099.45893,0.20591
466,3097.53021,0.20457
467,3095.60148,0.20352
468,3093.67276,0.2026
469,3091.74404,0.20133
470,3089.81531,0.20053
471,3087.88659,0.1989
472,3085.95786,0.19781
473,3084.02914,0.19629
474,3082.10042,0.19554
475,3080.17169,0.19434
476,3078.24297,0.19285
477,3076.31425,0.19174
478,3074.38552,0.19052
479,3072.4568,0.19018
480,3070.52807,0.18851
481,3068.59935,0.18768
482,3066.67063,0.1867
483,3064.7419,0.18474
484,3062.81318,0.1845
485,3060.88446,0.183
486,3058.95573,0.18202
487,3057.02701,0.18047
488,3055.09829,0.18019
489,3053.16956,0.17812
490,3051.24084,0.17708
491,3049.31211,0.17607
492,3047.38339,0.17509
493,3045.45467,0.17446
494,3043.52594,0.17272
495,3041.59722,0.17261
496,3039.6685,0.17101
497,3037.73977,0.17
498,3035.81105,0.16867
499,3033.88233,0.16786
500,3031.9536,0.167
501,3030.02488,0.16575
502,3028.09615,0.16474
503,3026.16743,0.16376
504,3024.23871,0.1631
505,3022.30998,0.16149
506,3020.38126,0.15998
507,3018.45254,0.15974
508,3016.52381,0.15869
509,3014.59509,0.15786
510,3012.66636,0.15705
511,3010.73764,0.15607
512,3008.80892,0.15529
513,3006.88019,0.15451
514,3004.95147,0.15341
515,3003.02275,0.15253
516,3001.09402,0.15143
517,2999.1653,0.15113
518,2997.23658,0.14954
519,2995.30785,0.14935
520,2993.37913,0.14869
521,2991.4504,0.14787
522,2989.52168,0.14706
523,2987.59296,0.14664
524,2985.66423,0.1458
525,2983.73551,0.14534
526,2981.80679,0.14505
527,2979.87806,0.14491
528,2977.94934,0.1448
529,2976.02062,0.14435
530,2974.09189,0.14456
531,2972.16317,0.14488
532,2970.23444,0.14504
533,2968.30572,0.14518
534,2966.377,0.14554
535,2964.44827,0.14492
536,2962.51955,0.14517
537,2960.59083,0.14447
538,2958.6621,0.14347
539,2956.73338,0.14294
540,2954.80466,0.14165
541,2952.87593,0.14047
542,2950.94721,0.13959
543,2949.01848,0.1382
544,2947.08976,0.13844
545,2945.16104,0.13831
546,2943.23231,0.13836
547,2941.30359,0.13896
548,2939.37487,0.13961
549,2937.44614,0.14091
550,2935.51742,0.14172
551,2933.58869,0.14222
552,2931.65997,0.14335
553,2929.73125,0.14359
554,2927.80252,0.14402
555,2925.8738,0.14275
556,2923.94508,0.14129
557,2922.01635,0.13954
558,2920.08763,0.13716
559,2918.15891,0.13348
560,2916.23018,0.13077
561,2914.30146,0.12761
562,2912.37273,0.12516
563,2910.44401,0.12285
564,2908.51529,0.12021
565,2906.58656,0.11864
566,2904.65784,0.11671
567,2902.72912,0.11484
568,2900.80039,0.11362
569,2898.87167,0.112
570,2896.94295,0.11034
571,2895.01422,0.10947
572,2893.0855,0.10824
573,2891.15677,0.10614
574,2889.22805,0.10515
575,2887.29933,0.10385
576,2885.3706,0.10254
577,2883.44188,0.10208
578,2881.51316,0.10138
579,2879.58443,0.10076
580,2877.65571,0.10074
581,2875.72698,0.09992
582,2873.79826,0.09935
583,2871.86954,0.09888
584,2869.94081,0.09794
585,2868.01209,0.09754
586,2866.08337,0.09728
587,2864.15464,0.09674
588,2862.22592,0.09688
589,2860.2972,0.09788
590,2858.36847,0.0989
591,2856.43975,0.09882
592,2854.51102,0.09841
593,2852.5823,0.09748
594,2850.65358,0.09452
595,2848.72485,0.09124
596,2846.79613,0.08877
597,2844.86741,0.0853
598,2842.93868,0.08269
599,2841.00996,0.08066
600,2839.08124,0.07888
601,2837.15251,0.07734
602,2835.22379,0.07573
603,2833.29506,0.07454
604,2831.36634,0.07346
605,2829.43762,0.07206
606,2827.50889,0.07131
607,2825.58017,0.07037
608,2823.65145,0.06923
609,2821.72272,0.06871
610,2819.794,0.06704
611,2817.86527,0.0667
612,2815.93655,0.06616
613,2814.00783,0.06546
614,2812.0791,0.06419
615,2810.15038,0.06383
616,2808.22166,0.06292
617,2806.29293,0.06224
618,2804.36421,0.0615
619,2802.43549,0.0605
620,2800.50676,0.06022
621,2798.57804,0.05939
622,2796.64931,0.05861
623,2794.72059,0.05801
624,2792.79187,0.05731
625,2790.86314,0.05657
626,2788.93442,0.05612
627,2787.0057,0.05537
628,2785.07697,0.05408
629,2783.14825,0.05357
630,2781.21953,0.05291
631,2779.2908,0.05232
632,2777.36208,0.05198
633,2775.43335,0.05096
634,2773.50463,0.05059
635,2771.57591,0.04953
636,2769.64718,0.04903
637,2767.71846,0.04856
638,2765.78974,0.04761
639,2763.86101,0.04745
640,2761.93229,0.04659
641,2760.00356,0.04593
642,2758.07484,0.0449
643,2756.14612,0.04473
644,2754.21739,0.0441
645,2752.28867,0.04352
646,2750.35995,0.04325
647,2748.43122,0.04293
648,2746.5025,0.04221
649,2744.57378,0.04142
650,2742.64505,0.04127
651,2740.71633,0.04049
652,2738.7876,0.0397
653,2736.85888,0.03923
654,2734.93016,0.03886
655,2733.00143,0.03821
656,2731.07271,0.03787
657,2729.14399,0.03712
658,2727.21526,0.03683
659,2725.28654,0.03609
660,2723.35782,0.03545
661,2721.42909,0.03507
662,2719.50037,0.03462
663,2717.57164,0.03396
664,2715.64292,0.03353
665,2713.7142,0.03316
666,2711.78547,0.03281
667,2709.85675,0.03231
668,2707.92803,0.03178
669,2705.9993,0.03051
670,2704.07058,0.03059
671,2702.14185,0.02991
672,2700.21313,0.02942
673,2698.28441,0.02966
674,2696.35568,0.02898
675,2694.42696,0.0281
676,2692.49824,0.02763
677,2690.56951,0.02717
678,2688.64079,0.02719
679,2686.71207,0.0267
680,2684.78334,0.02599
681,2682.85462,0.02553
682,2680.92589,0.02554
683,2678.99717,0.02507
684,2677.06845,0.02451
685,2675.13972,0.02395
686,2673.211,0.02368
687,2671.28228,0.02317
688,2669.35355,0.02273
689,2667.42483,0.02223
690,2665.49611,0.02186
691,2663.56738,0.0217
692,2661.63866,0.02138
693,2659.70993,0.02077
694,2657.78121,0.02022
695,2655.85249,0.02007
696,2653.92376,0.01979
697,2651.99504,0.0196
698,2650.06632,0.01922
699,2648.13759,0.01891
700,2646.20887,0.01848
701,2644.28014,0.01791
702,2642.35142,0.018
703,2640.4227,0.01732
704,2638.49397,0.01742
705,2636.56525,0.01672
706,2634.63653,0.01636
707,2632.7078,0.01606
708,2630.77908,0.01531
709,2628.85036,0.01544
710,2626.92163,0.01532
711,2624.99291,0.01495
712,2623.06418,0.01473
713,2621.13546,0.0146
714,2619.20674,0.01412
715,2617.27801,0.0136
716,2615.34929,0.01365
717,2613.42057,0.01312
718,2611.49184,0.01292
719,2609.56312,0.01269
720,2607.6344,0.01231
721,2605.70567,0.01218
722,2603.77695,0.01202
723,2601.84822,0.01134
724,2599.9195,0.011
725,2597.99078,0.01082
726,2596.06205,0.0108
727,2594.13333,0.01046
728,2592.20461,0.01051
729,2590.27588,0.0101
730,2588.34716,0.00983
731,2586.41843,0.01012
732,2584.48971,0.00941
733,2582.56099,0.00939
734,2580.63226,0.00902
735,2578.70354,0.00848
736,2576.77482,0.00874
737,2574.84609,0.00847
738,2572.91737,0.00831
739,2570.98865,0.00781
740,2569.05992,0.00757
741,2567.1312,0.00754
742,2565.20247,0.00779
743,2563.27375,0.00709
744,2561.34503,0.00708
745,2559.4163,0.00717
746,2557.48758,0.00661
747,2555.55886,0.00658
748,2553.63013,0.0067
749,2551.70141,0.0068
750,2549.77269,0.00613
751,2547.84396,0.00619
752,2545.91524,0.00576
753,2543.98651,0.00568
754,2542.05779,0.00579
755,2540.12907,0.00556
756,2538.20034,0.00539
757,2536.27162,0.00476
758,2534.3429,0.00514
759,2532.41417,0.00525
760,2530.48545,0.00507
761,2528.55673,0.00473
762,2526.628,0.00489
763,2524.69928,0.00487
764,2522.77055,0.00419
765,2520.84183,0.00444
766,2518.91311,0.00437
767,2516.98438,0.00401
768,2515.05566,0.00383
769,2513.12694,0.00391
770,2511.19821,0.00393
771,2509.26949,0.00369
772,2507.34076,0.00351
773,2505.41204,0.00334
774,2503.48332,0.00339
775,2501.55459,0.00345
776,2499.62587,0.00373
777,2497.69715,0.00285
778,2495.76842,0.00329
779,2493.8397,0.00317
780,2491.91098,0.00292
781,2489.98225,0.00296
782,2488.05353,0.00282
783,2486.1248,0.00257
784,2484.19608,0.00267
785,2482.26736,0.00238
786,2480.33863,0.00248
787,2478.40991,0.00267
788,2476.48119,0.00235
789,2474.55246,0.0024
790,2472.62374,0.00228
791,2470.69502,0.00195
792,2468.76629,0.00199
793,2466.83757,0.00203
794,2464.90884,0.00188
795,2462.98012,0.00177
796,2461.0514,0.00197
797,2459.12267,0.0017
798,2457.19395,0.00158
799,2455.26523,0.00184
800,2453.3365,0.00144
801,2451.40778,0.00157
802,2449.47905,0.00154
803,2447.55033,0.00142
804,2445.62161,0.0015
805,2443.69288,0.0017
806,2441.76416,0.0013
807,2439.83544,0.00152
808,2437.90671,0.00118
809,2435.97799,0.00125
810,2434.04927,0.00111
811,2432.12054,0.00106
812,2430.19182,0.00112
813,2428.26309,0.00104
814,2426.33437,0.00062
815,2424.40565,0.00072
816,2422.47692,0.00074
817,2420.5482,0.00081
818,2418.61948,0.00084
819,2416.69075,0.00072
820,2414.76203,0.00073
821,2412.83331,0.00039
822,2410.90458,0.00054
823,2408.97586,0.00048
824,2407.04713,0.00059
825,2405.11841,0.00043
826,2403.18969,0.00033
827,2401.26096,0.00041
828,2399.33224,0.00021
829,2397.40352,0.00003
830,2395.47479,0.00012
831,2393.54607,0.00035
832,2391.61734,0.00016
833,2389.68862,0.00005
834,2387.7599,0.00025
835,2385.83117,0.00015
836,2383.90245,0.00039
837,2381.97373,0.00032
838,2380.045,0.00052
839,2378.11628,-0.00004
840,2376.18756,0.00008
841,2374.25883,0.00005
842,2372.33011,0.00042
843,2370.40138,0.00075
844,2368.47266,0.00063
845,2366.54394,0.00128
846,2364.61521,0.00069
847,2362.68649,0.00059
848,2360.75777,0.00082
849,2358.82904,0.00015
850,2356.90032,0.00009
851,2354.9716,0.00074
852,2353.04287,0.00034
853,2351.11415,0.00045
854,2349.18542,-0.00006
855,2347.2567,0.00026
856,2345.32798,0.00062
857,2343.39925,0.00077
858,2341.47053,0.00097
859,2339.54181,0.00041
860,2337.61308,0.00084
861,2335.68436,0.00074
862,2333.75563,0.00083
863,2331.82691,0.00056
864,2329.89819,0.00043
865,2327.96946,-0.00004
866,2326.04074,0.00001
867,2324.11202,0.00003
868,2322.18329,0.00014
869,2320.25457,0.00048
870,2318.32585,0.00032
871,2316.39712,0.00006
872,2314.4684,0.00049
873,2312.53967,0.00033
874,2310.61095,-0.00003
875,2308.68223,0.0005
876,2306.7535,0.00018
877,2304.82478,0.00034
878,2302.89606,0.00042
879,2300.96733,0.00031
880,2299.03861,0.00017
881,2297.10989,0.00011
882,2295.18116,0.00016
883,2293.25244,0.00027
884,2291.32371,0.00007
885,2289.39499,-0.00002
886,2287.46627,-0.00006
887,2285.53754,0.00019
888,2283.60882,-0.00007
889,2281.6801,0.00044
890,2279.75137,0.0003
891,2277.82265,0.00003
892,2275.89392,0.00026
893,2273.9652,0.00022
894,2272.03648,0.00034
895,2270.10775,0.00013
896,2268.17903,0.00006
897,2266.25031,0.00046
898,2264.32158,0.00007
899,2262.39286,0.00018
900,2260.46414,0.00006
901,2258.53541,0.00018
902,2256.60669,0.00021
903,2254.67796,0.00019
904,2252.74924,0.00025
905,2250.82052,0.00009
906,2248.89179,0
907,2246.96307,0.0002
908,2245.03435,0.00001
909,2243.10562,0.00015
910,2241.1769,0.00012
911,2239.24818,0.0001
912,2237.31945,0.00016
913,2235.39073,-0.00024
914,2233.462,0.00014
915,2231.53328,0.00018
916,2229.60456,-0.0001
917,2227.67583,-0.00009
918,2225.74711,-0.00025
919,2223.81839,0.00009
920,2221.88966,0.00005
921,2219.96094,0.00016
922,2218.03221,0.00036
923,2216.10349,0.00032
924,2214.17477,0.00025
925,2212.24604,0.00007
926,2210.31732,0.00001
927,2208.3886,0.00022
928,2206.45987,-0.00011
929,2204.53115,0
930,2202.60243,0.00012
931,2200.6737,0.00033
932,2198.74498,0.00017
933,2196.81625,0.00021
934,2194.88753,0.00004
935,2192.95881,0.00025
936,2191.03008,0.00003
937,2189.10136,0.00005
938,2187.17264,0.00037
939,2185.24391,0.00027
940,2183.31519,0.00017
941,2181.38647,0.00009
942,2179.45774,0.00016
943,2177.52902,0.00033
944,2175.60029,0.00029
945,2173.67157,0.00011
946,2171.74285,0.0003
947,2169.81412,-0.00003
948,2167.8854,0.00002
949,2165.95668,0.00026
950,2164.02795,0.00061
951,2162.09923,0.00024
952,2160.1705,0.00037
953,2158.24178,0.00021
954,2156.31306,0.00015
955,2154.38433,0.00024
956,2152.45561,0.00004
957,2150.52689,0.00028
958,2148.59816,0.00039
959,2146.66944,0.00038
960,2144.74072,0.00023
961,2142.81199,0.00035
962,2140.88327,0.00041
963,2138.95454,0.00026
964,2137.02582,0.00025
965,2135.0971,0.00031
966,2133.16837,0.0003
967,2131.23965,0.00031
968,2129.31093,0.0003
969,2127.3822,0.00015
970,2125.45348,0.00035
971,2123.52476,0.00026
972,2121.59603,0.00047
973,2119.66731,0.0002
974,2117.73858,-0.00015
975,2115.80986,0.0002
976,2113.88114,-0.00012
977,2111.95241,-0.00001
978,2110.02369,0.00007
979,2108.09497,-0.00016
980,2106.16624,0.00013
981,2104.23752,-0.00005
982,2102.3088,0.00014
983,2100.38007,-0.00003
984,2098.45135,0.00024
985,2096.52262,0.00001
986,2094.5939,-0.00007
987,2092.66518,-0.00009
988,2090.73645,-0.00023
989,2088.80773,-0.00008
990,2086.87901,0.00002
991,2084.95028,-0.00023
992,2083.02156,0.00001
993,2081.09283,0
994,2079.16411,0.00026
995,2077.23539,0.00032
996,2075.30666,0.00014
997,2073.37794,-0.00001
998,2071.44922,0.00001
999,2069.52049,-0.00018
1000,2067.59177,-0.00006
1001,2065.66305,0.00026
1002,2063.73432,-0.00018
1003,2061.8056,0.00011
1004,2059.87687,0.00035
1005,2057.94815,0.00024
1006,2056.01943,0.00049
1007,2054.0907,0.00052
1008,2052.16198,0.00111
1009,2050.23326,0.00107
1010,2048.30453,0.0012
1011,2046.37581,0.0015
1012,2044.44709,0.00181
1013,2042.51836,0.00185
1014,2040.58964,0.00215
1015,2038.66091,0.00283
1016,2036.73219,0.00288
1017,2034.80347,0.00313
1018,2032.87474,0.00342
1019,2030.94602,0.00399
1020,2029.0173,0.00417
1021,2027.08857,0.00438
1022,2025.15985,0.00496
1023,2023.23112,0.00512
1024,2021.3024,0.00586
1025,2019.37368,0.00588
1026,2017.44495,0.00611
1027,2015.51623,0.0064
1028,2013.58751,0.00673
1029,2011.65878,0.00693
1030,2009.73006,0.00672
1031,2007.80134,0.00723
1032,2005.87261,0.00737
1033,2003.94389,0.00754
1034,2002.01516,0.00783
1035,2000.08644,0.00778
1036,1998.15772,0.00751
1037,1996.22899,0.0076
1038,1994.30027,0.00794
1039,1992.37155,0.00762
1040,1990.44282,0.00774
1041,1988.5141,0.00778
1042,1986.58538,0.00774
1043,1984.65665,0.00768
1044,1982.72793,0.00727
1045,1980.7992,0.00758
1046,1978.87048,0.0073
1047,1976.94176,0.00742
1048,1975.01303,0.00712
1049,1973.08431,0.00735
1050,1971.15559,0.00687
1051,1969.22686,0.00688
1052,1967.29814,0.00624
1053,1965.36941,0.00606
1054,1963.44069,0.00621
1055,1961.51197,0.00543
1056,1959.58324,0.00573
1057,1957.65452,0.00528
1058,1955.7258,0.00542
1059,1953.79707,0.00537
1060,1951.86835,0.0049
1061,1949.93963,0.00502
1062,1948.0109,0.00453
1063,1946.08218,0.0043
1064,1944.15345,0.00398
1065,1942.22473,0.00374
1066,1940.29601,0.00389
1067,1938.36728,0.00365
1068,1936.43856,0.00357
