"...1","wavenumber","absorbance"
245,3523.77814,0.22825
246,3521.84941,0.22842
247,3519.92069,0.22972
248,3517.99197,0.23079
249,3516.06324,0.23107
250,3514.13452,0.23116
251,3512.20579,0.23193
252,3510.27707,0.23272
253,3508.34835,0.2337
254,3506.41962,0.23461
255,3504.4909,0.23488
256,3502.56218,0.23582
257,3500.63345,0.23658
258,3498.70473,0.23838
259,3496.776,0.23725
260,3494.84728,0.23852
261,3492.91856,0.23961
262,3490.98983,0.23965
263,3489.06111,0.24125
264,3487.13239,0.24071
265,3485.20366,0.24214
266,3483.27494,0.24184
267,3481.34622,0.24339
268,3479.41749,0.24444
269,3477.48877,0.24419
270,3475.56004,0.24522
271,3473.63132,0.24658
272,3471.7026,0.24685
273,3469.77387,0.24766
274,3467.84515,0.24811
275,3465.91643,0.24753
276,3463.9877,0.24862
277,3462.05898,0.25008
278,3460.13026,0.24975
279,3458.20153,0.24985
280,3456.27281,0.25094
281,3454.34408,0.2521
282,3452.41536,0.25211
283,3450.48664,0.25142
284,3448.55791,0.25246
285,3446.62919,0.25188
286,3444.70047,0.25326
287,3442.77174,0.25252
288,3440.84302,0.25321
289,3438.91429,0.2531
290,3436.98557,0.25423
291,3435.05685,0.25411
292,3433.12812,0.25425
293,3431.1994,0.25528
294,3429.27068,0.25498
295,3427.34195,0.2559
296,3425.41323,0.25486
297,3423.48451,0.25604
298,3421.55578,0.25454
299,3419.62706,0.25556
300,3417.69833,0.2554
301,3415.76961,0.25559
302,3413.84089,0.25593
303,3411.91216,0.25577
304,3409.98344,0.25617
305,3408.05472,0.25653
306,3406.12599,0.25664
307,3404.19727,0.256
308,3402.26855,0.25542
309,3400.33982,0.25629
310,3398.4111,0.25646
311,3396.48237,0.25556
312,3394.55365,0.25611
313,3392.62493,0.25612
314,3390.6962,0.25558
315,3388.76748,0.25608
316,3386.83876,0.25625
317,3384.91003,0.25529
318,3382.98131,0.25504
319,3381.05259,0.25574
320,3379.12386,0.25538
321,3377.19514,0.25439
322,3375.26641,0.25433
323,3373.33769,0.25457
